,0,1,2,3,4,5,6,7
0,GottModern Text,GottOld Text,undModern Text,undOld Text,habenModern Text,habenOld Text,ändernModern Text,ändernOld Text
1,-0.20917055,-0.16057041,-0.13132267,-0.20568925,0.64063454,0.21608981,-0.26504892,-0.5683052
2,0.15764566,-0.050222762,-0.3961127,-0.17661142,-0.7024956,-0.7341454,0.048825234,-0.1708469
3,0.40298274,0.3452485,-0.944909,-0.60304904,-0.96808165,-0.89835376,-0.66735506,-0.101910375
4,1.3327307,0.87516785,0.88555235,0.51744324,-0.36551708,0.35149685,0.8485221,0.71150386
5,-0.34742564,-0.6279424,0.0221916,-0.47842684,-0.5683155,-1.2606491,-0.9650434,-0.9786062
6,1.0070231,0.47463715,0.6930956,0.56234103,-0.0066542514,0.45430577,0.91138905,0.12556864
7,-1.687011,-1.2712126,-0.47278398,0.2765281,-0.05571671,0.38353336,0.34767136,-0.28758854
8,-0.27544802,-0.5333167,1.1761651,-0.4882302,-0.47867516,0.006332241,0.7703687,0.34541783
9,0.71169156,0.6012924,-0.23721237,0.13003504,-0.2511537,-0.5280998,-0.21806693,0.027519625
10,-0.19206667,-0.11837341,-1.9428852,-0.5382375,0.5423119,-0.8674186,-1.0375241,-1.8208454
11,0.6391482,-0.31617048,1.0925243,1.1864955,-0.30065823,-0.08879566,0.24811026,-0.60323876
12,-0.47823077,-0.7797601,-1.6080415,-0.78968143,-0.31337315,-1.48972,0.13001445,-0.076187864
13,-1.0331279,0.52032393,0.6346813,1.6636876,0.047313664,-0.43425772,0.8128423,-0.27071917
14,0.6496248,0.044934135,0.3343192,0.88499653,0.008202761,0.017719414,-0.22504687,0.011239424
15,-0.39411274,-0.9498909,0.46225068,0.45243132,-0.5026113,0.06891808,-0.8242102,-0.5197287
16,-0.43637305,-0.05942847,-0.9272983,-0.20764026,-0.8490088,1.4311528,0.901203,0.27460933
17,-0.7703585,-0.6940449,0.73694664,0.3085903,-0.56483966,-0.3148832,0.49046722,0.88423455
18,0.22618282,-0.34735993,-0.7803189,0.13524586,-1.488064,-0.66128963,-1.6053607,0.39395732
19,0.24962679,-0.04695325,-0.18127224,-0.31320217,-0.10431399,-0.6610367,-0.8229946,-0.97772557
20,0.31479096,0.44354984,-0.21133973,1.1727805,0.10876867,-0.112044424,0.5785809,-0.074999236
21,1.188724,0.5315392,0.37947953,1.2687017,0.6061255,0.39391515,-0.49854308,-0.5689513
22,0.8813658,0.6732237,0.52877843,-0.23214388,-0.2500395,0.52518904,0.5501115,0.8021609
23,-1.5900217,-1.0168011,-0.35355014,-1.225039,-1.1659912,-0.9414568,-0.31736606,0.32936603
24,-0.46062,-0.35166445,-0.81375086,-0.76204896,-0.55723166,-0.62028015,1.0486851,0.27542812
25,-1.0185165,-0.25642356,0.2628623,1.7696557,-0.45350415,0.20891398,-0.23343861,0.30392992
26,-0.40543005,0.27395925,-0.20477828,0.3751344,-0.44229472,0.77555037,0.5819119,0.48503134
27,-0.085826084,-0.14073893,0.21153218,-0.09446687,0.40890312,-0.7231842,0.4656822,0.89227223
28,-1.2649581,-1.2624646,-0.53212726,-0.47186625,-0.121434465,-1.4003031,1.426963,-0.043344617
29,0.23634498,-0.031658374,0.19048522,-1.1291893,0.24237739,-0.34640098,-1.1189576,-0.9678575
30,0.43290246,-0.12417875,0.12272519,0.3695033,-0.07211899,-0.64521706,-0.6292316,0.031107947
31,-0.042250883,0.39563432,0.9242254,1.98777,1.1644725,1.6602038,0.691305,-0.6614607
32,-0.20732543,0.4768777,-0.03884317,-0.9935639,1.0588778,0.0069333427,-0.23455024,-0.10997366
33,0.8011349,1.621331,-1.0792998,-0.19863339,0.09665428,0.13853766,-1.318116,-0.2045154
34,0.6599745,0.3012219,-0.03847442,-0.13223925,-0.14261915,1.3134122,-0.19005075,0.2166073
35,-0.602217,-1.4116863,0.44085756,-0.29174772,0.62571526,-0.46967673,-1.2737691,-0.26252586
36,1.4510977,1.6666168,0.9717427,0.22506975,0.2692274,0.8859392,1.4733853,0.78584564
37,0.33396995,0.39040425,0.0615158,0.7569411,0.3577188,1.5846838,-0.50748175,-0.7919734
